"Position (m)","Force (N)","Accumulated Force (N)","Profile Lower (m)","Profile Upper (m)"
0.01280723717878637,0.4417328954437354,0.4417328954437354,-0.2478576528928127,-0.00011281691012761058
0.037799459022361405,0.43790018421630439,0.87963307966003978,-0.24780227196197788,-9.2993741515416922e-05
0.062791680865936422,0.43484231121505207,1.3144753908750919,-0.24780069315421313,-7.1119417044838477e-05
0.08778390270951146,0.43478297852712328,1.7492583694022152,-0.24714574997290928,-0.00010283939120563945
0.11277612455308648,0.43613704904087081,2.1853954184430862,-0.24435993321019162,-8.1335103689418752e-05
0.13776834639666152,0.43315138546121507,2.6185468039043012,-0.2415813280998069,-0.00011312615501532469
0.16276056824023657,0.43037297924043705,3.0489197831447381,-0.23896350826814663,-8.0823548031198406e-05
0.1877527900838116,0.42445000037151476,3.4733697835162527,-0.23618110774912845,-0.00014246847583795292
0.21274501192738662,0.41879230744020185,3.8921620909564547,-0.23339736345861017,-0.00013903150976601043
0.23773723377096165,0.41271513811067528,4.30487722906713,-0.2306179861564652,-0.00010245408901917394
0.2627294556145367,0.40793117409660262,4.7128084031637325,-0.22800216885035882,-0.00016591070330893379
0.28772167745811172,0.40407375544146396,5.1168821586051969,-0.22521948137112097,-0.00017368041844081317
0.31271389930168675,0.40005264143114194,5.5169348000363385,-0.2224358236911449,-0.00016392340137465704
0.33770612114526177,0.39792142856225804,5.9148562285985964,-0.21981810499332516,-0.00019344730968317859
0.3626983429888368,0.39669907259225501,6.3115553011908512,-0.21703876872858344,-0.00011323062177687342
0.38769056483241182,0.39287999248132655,6.7044352936721774,-0.21425721938406264,-0.00016473867678240924
0.4126827866759869,0.38804572455140462,7.092481018223582,-0.21147455506067367,-0.00018166090943465854
0.43767500851956193,0.37961569007898177,7.4720967083025638,-0.20885577357898058,-0.00011729548883681825
0.46266723036313695,0.3729811458352672,7.8450778541378305,-0.20607623995542951,-0.00010516152351701388
0.48765945220671197,0.36534190563215968,8.2104197597699908,-0.20329477923188055,-9.9667702982387599e-05
0.512651674050287,0.36086753975361946,8.5712872995236111,-0.20051270501938998,-7.5702970160493216e-05
0.53764389589386197,0.35508610075773145,8.9263734002813422,-0.19789373566791002,-0.00011117943043492001
0.56263611773743705,0.35146223189219172,9.2778356321735345,-0.19511411132380624,-0.00010462306442648367
0.58762833958101202,0.34799092339523596,9.6258265555687696,-0.19233218704970934,-7.2593357593857873e-05
0.6126205614245871,0.3442398828367022,9.9700664384054711,-0.18955031512229978,-9.6243502617215216e-05
0.63761278326816206,0.33964341128642528,10.309709849691897,-0.18693200404020821,-0.00011753970828552162
0.66260500511173714,0.33185028627677127,10.641560135968668,-0.1841504765006583,-7.8005797241990967e-05
0.68759722695531211,0.32197223398227759,10.963532369950945,-0.18136981540910324,-9.453079393755687e-05
0.71258944879888719,0.3141651404783708,11.277697510429316,-0.17858904185709157,-7.9495863446579627e-05
0.73758167064246227,0.30576170187532825,11.583459212304644,-0.17597015581697642,-0.00012105106867473912
0.76257389248603724,0.29812299239522849,11.881582204699873,-0.17318849712968917,-9.688170123061765e-05
0.78756611432961232,0.29306448002899271,12.174646684728865,-0.17040728152825121,-6.0528499334026669e-05
0.81255833617318729,0.28699688841845361,12.461643573147319,-0.16762537875122771,-0.00011041520432146306
0.83755055801676237,0.28452779195055,12.746171365097869,-0.16500865204701207,-8.2872163064725638e-05
0.86254277986033734,0.27969066747711913,13.025862032574988,-0.16222555119980331,-6.7304135111181146e-05
0.88753500170391242,0.27233550282233554,13.298197535397323,-0.15941486344466674,-8.668015373688305e-05
0.9125272235474875,0.25035836693847552,13.548555902335799,-0.15663287556167749,-8.698169763018886e-05
0.93751944539106247,0.22006126706190429,13.768617169397704,-0.15401539081914828,-8.5703509401175324e-05
0.96251166723463755,0.18037360745757752,13.948990776855281,-0.15123718758381979,-8.070521096603916e-05
0.98750388907821252,0.14987065252019852,14.098861429375479,-0.14845388316897096,-0.00011660463258842929
